apps/iot_ui/iot_ui/templates/pages/iot_ent_structure.html +393,The item will be permanently deleted and the members of the Group will be removed.,这个组将被永久删除，组内成员也将被移除
apps/iot_ui/iot_ui/templates/pages/iot_devinfo.html +138,TimeStamp,时间戳
apps/iot_ui/iot_ui/templates/pages/iot_devinfo.html +37,Total  devices,总设备数
DocType: Error Visited,User,用户
apps/iot_ui/iot_ui/ui_api.py +450,User is in another company {0},用户已经存在其他公司 {0}
apps/iot_ui/iot_ui/templates/pages/iot_devinfo.html +136,Value,值
apps/iot_ui/iot_ui/templates/pages/iot_event_info.html +38,Variable or label,变量或标签
apps/iot_ui/iot_ui/templates/iot_ui_topnav.html +114,Welcome,欢迎
apps/iot_ui/iot_ui/ui_api.py +341,You are not an IOT User,您不是IOT用户
apps/iot_ui/iot_ui/ui_api.py +441,You not the admin of company {0},您不是{0}公司的管理员
apps/iot_ui/iot_ui/templates/pages/gateways_list.html +51,all,所有
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +104,app_name,
apps/iot_ui/iot_ui/templates/pages/iot_event.html +76,brief,摘要
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +107,category,类别
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +71,cloud_ver,平台版本
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +69,cloudname,平台名称
apps/iot_ui/iot_ui/templates/pages/iot_devinfo.html +61,device,设备
apps/iot_ui/iot_ui/templates/pages/iot_devinfo.html +77,device name,设备名称
apps/iot_ui/iot_ui/templates/pages/gateways_list.html +71,device_ascription,设备归属
apps/iot_ui/iot_ui/templates/pages/gateways_list.html +67,device_desc,设备描述
apps/iot_ui/iot_ui/templates/pages/gateways_list.html +66,device_name,设备名称
apps/iot_ui/iot_ui/templates/pages/gateways_list.html +70,device_sn,设备序列号
apps/iot_ui/iot_ui/templates/pages/gateways_list.html +68,device_status,设备状态
apps/iot_ui/iot_ui/templates/pages/iot_applist.html +106,device_supplier,设备供应商
apps/iot_ui/iot_ui/templates/pages/iot_event.html +73,error_key,标签
apps/iot_ui/iot_ui/templates/pages/iot_event.html +74,error_level,级别
apps/iot_ui/iot_ui/templates/pages/iot_event.html +72,error_type,类型
apps/iot_ui/iot_ui/templates/pages/iot_devinfo.html +34,gateway,网关
apps/iot_ui/iot_ui/templates/pages/iot_console.html +27,gateway overview,网关总览
apps/iot_ui/iot_ui/templates/pages/gateways_list.py +63,gateways_list,网关列表
apps/iot_ui/iot_ui/templates/pages/gateways_map.py +43,gateways_map,网关地图
apps/iot_ui/iot_ui/templates/pages/iot_bunchcode.html +36,group bunchcode,组绑定码
apps/iot_ui/iot_ui/templates/pages/iot_event.html +52,hasread,已读
apps/iot_ui/iot_ui/templates/pages/iot_applist.py +41,iot_applist,IOT应用列表
apps/iot_ui/iot_ui/templates/pages/iot_bunchcode.py +81,iot_bunchcode,绑定码
apps/iot_ui/iot_ui/templates/iot_ui_breadcrumbs.html +11,iot_console,控制台
apps/iot_ui/iot_ui/templates/pages/iot_ent_structure.py +70,iot_ent_structure,组织架构
apps/iot_ui/iot_ui/templates/pages/iot_event.py +45,iot_event,
apps/iot_ui/iot_ui/templates/pages/iot_event_info.py +63,iot_event_info,
